	Unnamed: 0	Unnamed: 0.1	user	sex	age	user_1grams	user_2grams	user_3grams	avr_mentions	avr_punctuation	avr_text_size	avr_starts_with_capital	avr_ends_with_punctuation	avr_capitals	avr_words_count	vocabulary_richness
0	0	0	4905cc7a1396110c1a635c4e7b023de2	FEMALE	"50-64
"	0.42592592592592593	0.48148148148148145	0.5462962962962963	0.6851851851851852	2.1481481481481484	74.66666666666667	0.7962962962962963	0.24074074074074073	0	0.06481481481481481	0.0
1	1	1	6733b2957179358024cc5c493f28924a	MALE	"50-64
"	1.3	1.4727272727272727	1.5	1.2	2.5636363636363635	88.63636363636364	0.23636363636363636	0.7636363636363637	0	0.17272727272727273	0.0
2	2	2	9aa58b658935d017e0827d1b42e75596	MALE	"18-24
"	0.753259779338014	1.0030090270812437	1.0341023069207622	0.4944834503510532	3.477432296890672	103.52858575727181	0.6760280842527583	0.563691073219659	0	0.01905717151454363	35.26912181303116
3	3	3	454904ba35745fd0499f229c4b3e851c	FEMALE	"35-49
"	0.6156156156156156	0.8248248248248248	0.8698698698698699	1.2072072072072073	4.055055055055055	135.67167167167167	0.8538538538538538	0.6536536536536537	0	0.01701701701701702	24.653739612188367
4	4	4	4dc094fb37152396199cb951207bb75d	MALE	"35-49
"	0.6957104557640751	0.8136729222520107	0.8203753351206434	0.30294906166219837	1.938337801608579	82.53619302949062	0.1903485254691689	0.3190348525469169	0	0.006702412868632708	0.0
5	5	5	2213767ab6ecc93aa98e0d49cfab5baa	FEMALE	"35-49
"	0.445	0.503	0.513	0.658	1.28	147.747	0.796	0.1	0	0.016	36.47912885662432
6	6	6	e390535dd8f6e7b8f56c1f45aa365760	MALE	"35-49
"	0.708	0.865	0.887	0.706	3.434	120.564	0.598	0.602	0	0.021	18.9727463312369
7	7	7	c297b3ecf103e67237c8a42659a178e3	FEMALE	"25-34
"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0
8	8	8	491750704cf57fa285716407272c5a56	MALE	"25-34
"	0.529	0.617	0.627	0.743	2.815	108.553	0.412	0.455	0	0.01	33.1769722814499
9	9	9	1110e5330c38f208b2887f55f7296235	FEMALE	"50-64
"	0.8518518518518519	0.9555555555555556	1.0148148148148148	0.11851851851851852	2.3555555555555556	109.4962962962963	0.7555555555555555	0.674074074074074	0	0.07407407407407407	63.018242122719734
